#separator:tab
#html:false
abstrakt	icke konkret, ogripbar
anvisa	bevilja pengar
förelöpare	föregångare
balkanisering	splittring i småstater
skärpa	göra skarp
koreografi	danskomposition
tribut	avgift; hyllning
avhysa	vräka från bostad
samarit	hjälpsam medmänniska
bygdemål	dialekt
pittoresk	lantligt idyllisk
överflödig	onödig
presidera	sitta som ordförande
fjord	djup havsvik
åskådlig	klar och tydlig
anhålla	begära
härk	renoxe
erforderlig	nödvändig
koloni	besittning
köpeskilling	summa vid betalning
patetisk	ömklig
regatta	båttävling
salomonisk	rättvis och klok
prematur	för tidigt född
omhulda	kärleksfullt ta sig an   Visa välvilja eller skydd; ta hand om eller gynna.    Skydda, vårda, gynna, understödja, favorisera, understöda, befrämja    Hon omhuldade de unga konstnärerna och hjälpte dem att utvecklas.
deflation	penningsvärdeshöjn; prisfall
avsmak	motvilja
termodynamik	värmelära
blossa	ryka
manuell	för hand
förtecken	viss stil och stämning
ögonfägnad	vackert att se på
skenhelig	hycklande
snuthäck	polisbil
persvadera	övertala
överseende	förlåtande
ukulele	gitarr
hålfot	fotvalv
humid	fuktig
upphov	ursprung
lotsa	visa vägen
termometer	temperaturmätare
högakta	hysa stor aktning
gerundium	infinit verbform
besätta	ockupera; garnera; förse med
redare	fartygsägare
kroasera	korsa raser
puritan	renlevnadsperson
epilog	slutord
eftersläpning	försening
provinsiell	landsortsmässig
vederkvickt	uppfriskad
gratifikation	belöning
verifiera	intyga sanningen
depression	förtvivlan
rendera	ge i utbyte, inbringa
bröstvärn	skyddsvall
genombruten	har mönstrade hål
omnipotent	allsmäktig
domptör	djurtämjare
räfst	rättslig rannsakning
stålsätta sig	bli starkare
kangas	höftskynke
evärdlig	evig
ha delade meningar	tycka olika
gemytlig	småtrevlig
plira	kisa med ögonen
neslig	skamlig
flarn	spröd småkaka
forensisk	rättsvetenskaplig
säter	fäbod
förljugen	falsk
spin-off	sidoeffekt
dignitär	överhetsperson
konsekrera	inviga
okväda	skymfa
prångla	driva handel ohederligt
trapets	parallellsidig fyrhörning
frestad	lockad
elokvent	vältalig
komponist	kompositör
in media res	omedelbart in i ämnet
bönfalla	vädja
gnöl	klagomål
skröplig	Kraftlös, svag eller bräcklig, ofta om ålder eller sjukdom.    Svag, klen, bräcklig, vacklande, instabil, skraltig, fragil    Den skröplige mannen behövde stöd för att ta sig uppför trappan.
cyklon	virvelstorm
papier-maché	formbar pappersmassa
förordning	bestämmelse av regeringen
gungfly	osäker mark
slimmad	om åtsittande kläder. slimmade jeans.
framdeles	hädanefter
tangera	vidröra
dimorf	tvåformig
voyeur	tittare
samfälld	gemensam
skorra	låta illa
belysande	klarläggande
utopist	drömmare
brevledes	med brev
reminiscens	svagt minne, spår
introvert	inåtvänd
genrep	slutövning inför premiär
in blanko	inte ifylld, tex om check
okvädinsord	skällsord
infernalisk	djävulsk
curare	sydamerikanskt pilgift
pedagogisk	skickligt undervisande
semiologi	teckenlära
anletsdrag	ansiktsutseende
ok	tung börda
begiven	lysten efter
hygrometer	fuktighetsmätare
subvention	statligt pengastöd
briljera	excellera
apoplexi	slaganfall
diffus	oklar
kvasivetenskaplig	skenbart vetenskaplig
passpoal	sydd kant
barometer	lufttryckmätare
jiddisch	judetyska
jurist	rättslärd
potentiell	möjlig
korrupt	moraliskt fördärvad
markant	starkt framträdande
apparition	yttre
likvid	som har betalningsmedel
viskös	seg
dunst	ånga
infrastruktur	praktiska samhällsfunktioner
avel	planerad uppfödning
rotblöta	kraftigt regn
dra i långbänk	dra ut på
eau-de-vie	konjak
fägring	skönhet
urholka	försvaga
skyla	täcka och dölja
orkestrera	samordna
kolerisk	hetlevrad   Häftig, hetsig eller lättretlig till humöret; benämning från äldre temperamentlära där ”kolerisk” stod för det hetlevrade sinnelaget.    Hetsig, hetlevrad, retlig, temperamentsfull, argsint, irascibel (hetsig), explosiv    Han var en kolerisk man som ofta brusade upp för minsta småsak.
grace	behag; ynnest
lappri	obetydliga småsaker
raljant	gycklande
nomad	kringvandrande folk
degenerera	urarta
utgrunda	försöka förstå
pro forma	för syns skull
revalvera	skriva upp valutavärde
modus operandi	tillvägagångsätt
estetik	skönhet och konstlära
adaption	anpassning
elixir	styrkande dryck
hundväder	riktigt oväder
vitmena	kalka
kelen	kelig
jamare	sup
sibylla	spåkvinna
modifiera	förändra
förära	skänka
suterräng	våning under marknivå
bryderi	förvirringstillstånd
bale	fågelbo
kvarg	ostmassa
en masse	i mängder
fläns	utstående kant
sekret	avsöndringsvätska
annalkande	som närmar sig
anseende	rykte
melass	biprodukt från socker
rabalder	bråk och oväsen
futurolog	framtidsforskare
boett	fodral
durk	fartygsgolv
träl	slav
attribuera	tillskriva
förebära	skylla på
mjärde	bur att fånga fisk med
renegat	förrädare
avbön	medgivande av fel
sint	vred
klut	tygstycke
moderera	anpassa; dämpa
moralkaka	tillrättavisning
intoxikation	förgiftning
bekantgöra	tillkännage
